       state	      m_CaX2	       m_NaX	        m_KX	      m_MgX2	
      i_soln	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
       react	  2.2056e-02	  8.7157e-03	  5.5512e-04	  3.3087e-03	
